,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
HLA-B,99,black,black,0,0.8435294956102903,-0.582750006660975,-0.46955022747861025,0.04846893762226915
RPL12,97,black,black,0,0.8411241002460876,-0.2442282102807169,-0.6447268111901601,-0.2786957843088492
HLA-C,99,black,black,0,0.8360965450440401,-0.45055046122930037,-0.4969343913371275,-0.04036366702191935
RPS9,98,black,black,0,0.835659999933329,-0.31968732000390937,-0.6184526322996085,-0.17792528969687094
RPL26,98,black,black,0,0.8354845306648918,-0.4603715488504954,-0.6992445384245144,-0.38070371662802793
GAPDH,96,black,black,0,0.8346180298110376,-0.05938908189624276,-0.6513015106759376,-0.12137766882478042
TPT1,99,black,black,0,0.8339779385868143,-0.084261881184393,-0.7808799734187689,-0.46390338261924424
RPSA,97,black,black,0,0.8332748448299266,-0.3725632486173954,-0.5832483727254569,-0.11744080458132128
RPL29,96,black,black,0,0.8319115248051862,-0.2560073675995167,-0.7252893712106593,-0.4020051037549173
MYL6,98,black,black,0,0.8260268039632539,-0.5557340879968012,-0.6638520780276854,-0.22747745791678306
RPL13A,99,black,black,0,0.8241314889507589,-0.7745425783364803,-0.7174736841302856,-0.30707058226009776
RPL27,97,black,black,0,0.8236210414448003,-0.37702854756249504,-0.6817376627778522,-0.26001112282811406
CST3,92,black,black,0,0.8222955988167143,-0.29330589376858823,-0.6586393410392052,-0.20563110131178514
CTSD,95,black,black,0,0.8195777216095426,-0.0049994693332821305,-0.4624258632783305,0.029553460119551976
CD63,96,black,black,0,0.819094883684965,-0.1683287354845092,-0.5388479430817773,-0.08215520275286155
UBA52,96,black,black,0,0.8169734311140983,-0.5065479002121233,-0.7152775586489701,-0.28769522553284665
RPS6,98,black,black,0,0.8157641958675993,-0.4030231125285654,-0.6690680156501493,-0.2404834658451233
RPS3,97,black,black,0,0.8116164080009028,-0.3251154244531631,-0.5632661433466791,-0.07214546946395194
RPS20,98,black,black,0,0.8077404516130299,-0.5896054686254791,-0.7533419037914677,-0.34843960260245394
RPS3A,97,black,black,0,0.8051965876983442,-0.11067400258608655,-0.6464576836081393,-0.23838254896292488
RPL23A,98,black,black,0,0.8038361549652039,-0.5882572146942382,-0.7062180766073193,-0.272717585892858
TMSB10,98,black,black,0,0.8038137066275074,-0.6167600614157479,-0.5999522071570709,-0.23625472302551384
CD74,97,black,black,0,0.8034759261273013,-0.21357001885225238,-0.5109030663922612,-0.04157749475539469
H3F3B,99,black,black,0,0.7969326054765747,-0.5870747050174874,-0.7771467285073191,-0.36702921070815214
CFL1,97,black,black,0,0.7945358791894963,-0.4712018205426707,-0.54930714151246,-0.0736587545157395
PPIA,99,black,black,0,0.793290819084103,-0.3961481258630491,-0.829152923098843,-0.219488248308555
OAZ1,97,black,black,0,0.7887573638892682,-0.2695274078260054,-0.5431165808018974,-0.015349998786374795
RPS7,98,black,black,0,0.7874931166746838,-0.1860385510759734,-0.6478867876761223,-0.24582147177058056
HLA-E,99,black,black,0,0.7868040223114613,-0.632608317525159,-0.4632335917577523,-0.006777507975259243
RPL36A,98,black,black,0,0.784850820476589,-0.6383582224935613,-0.7223205017245686,-0.2733046603684344
RPL7,98,black,black,0,0.7772574006581517,-0.3570685277583835,-0.7293019668805796,-0.383888849313925
ATP5MC2,95,black,black,0,0.7615286945062848,-0.11314605834444877,-0.5239659190534557,-0.1161023137729136
PTMA,99,black,black,0,0.7580942844361841,-0.8025978084452441,-0.6787165813214161,-0.2529477202606888
ACTG1,98,black,black,0,0.7578552892328319,-0.3829797092898262,-0.528826767730222,-0.00610160681669166
UQCR11,97,black,black,0,0.7548977647993083,-0.22273894922802748,-0.6439185224404709,-0.3090439719394271
UBB,95,black,black,0,0.7530617506297684,-0.26253811958728546,-0.6577240213264192,-0.33631778027051634
RPS29,98,black,black,0,0.7530316180326093,-0.7073544157850953,-0.583178357579439,-0.31151753167475815
ENO1,96,black,black,0,0.748009979840675,-0.14073666854772926,-0.4840333302613743,-0.11802861835694839
RACK1,98,black,black,0,0.7473701161702248,-0.32738255635239083,-0.6730304851796548,-0.253162118140323
RPL5,97,black,black,0,0.7439586684848767,-0.10131245024118336,-0.5862828492718609,-0.22716172170711751
RPS26,95,black,black,0,0.7391991201226961,-0.04582825922317612,-0.616835075364545,-0.2881936736186287
RPL14,98,black,black,0,0.7351359550147488,-0.3473316631189227,-0.6577351509550424,-0.3660598452599548
DUSP1,98,black,black,0,0.7267933182672973,-0.5915153511087742,-0.5848403625171154,-0.25642437293977893
JUND,98,black,black,0,0.702543689688965,-0.5647894371031233,-0.5528460580806265,-0.10988723687598653
COX6C,95,black,black,0,0.7022488189542877,0.036702417345498096,-0.5927093230412804,-0.2984031374352867
FTH1,97,black,black,0,0.6931240743646473,0.13973465875349678,-0.6137516323730898,-0.2330963674484702
CHCHD2,97,black,black,0,0.6910871705845175,-0.11966154368826583,-0.6187388489647244,-0.18157758566691484
MORF4L2,96,black,black,0,0.6887215776288368,0.08647529472846859,-0.5178889390812498,-0.19192746319866574
ZFP36,96,black,black,0,0.6881458425390528,-0.015336352587618849,-0.30364307783876887,0.11059215762805255
UBC,99,black,black,0,0.6872377186164209,-0.6927840085942378,-0.7182865093758406,-0.31164871694800655
NACA,98,black,black,0,0.6765304811888002,-0.19324567964179826,-0.6407636336928721,-0.31841092387564307
H3F3A,99,black,black,0,0.6759672217966948,-0.6438417841742605,-0.702553022816524,-0.25687691002854574
