,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
CCDC91,99,darkgrey,darkgrey,1,-0.41278457601487173,0.6907384539752873,0.44373640936111464,0.1102572972431837
GC,64,darkgrey,darkgrey,1,0.07983548546369124,0.689966074209988,-0.20907966349866924,-0.29055948499437184
RSRC1,99,darkgrey,darkgrey,1,-0.3231703695090876,0.688002688339619,0.40241644593875847,0.13957126298897848
NIPBL,99,darkgrey,darkgrey,1,-0.4454679865298389,0.6873710978726397,0.4316778618212629,-0.05471348365205735
C8G,55,darkgrey,darkgrey,1,-0.07960810717010922,0.6873087597508437,-0.06829790135086403,-0.24204193487636494
COMMD10,99,darkgrey,darkgrey,1,-0.3645322482425513,0.687024411267039,0.460493451114445,0.1461166536846928
SLC38A1,99,darkgrey,darkgrey,1,-0.6243344482827977,0.686677071531174,0.6643116688018841,0.2735831825140442
F12,42,darkgrey,darkgrey,1,-0.1698291002059733,0.6865000959669996,0.03618157333246203,0.040896128842432676
MAT1A,54,darkgrey,darkgrey,1,0.025791715312635095,0.6859245761972015,-0.1613382804032182,-0.3059173020235984
AHSG,65,darkgrey,darkgrey,1,-0.06277960532164255,0.6811603574428257,-0.11901867514273475,-0.3104529649982838
PHF3,99,darkgrey,darkgrey,1,-0.4036628361854314,0.681103250037771,0.46754338566812276,0.17403423234543577
CCSER2,99,darkgrey,darkgrey,1,-0.3416791047738469,0.6807024200589548,0.36854454578142376,-0.015599184782178522
ETNK1,99,darkgrey,darkgrey,1,-0.3177185655185484,0.6801507492147234,0.21685019591122956,-0.03398172093172236
CYP2C9,52,darkgrey,darkgrey,1,0.010531997315549319,0.6788813816690318,-0.12319960304041376,-0.40684121284261976
AP3B1,99,darkgrey,darkgrey,1,-0.38436156113402314,0.6781615538121312,0.3806434840672017,0.1705424857126577
PAH,61,darkgrey,darkgrey,1,0.0122542892562759,0.6776587925500774,-0.18437033125599306,-0.32212958636338374
VTI1A,99,darkgrey,darkgrey,1,-0.5245554745216501,0.6775939928287282,0.5430003766291589,0.15422876942516697
SLC7A2,33,darkgrey,darkgrey,1,-0.2954933472357041,0.6738617076581102,0.44536710398190366,0.3352980310442669
SERPINA1,94,darkgrey,darkgrey,1,-0.04441201323403189,0.6734091972191457,-0.06936685756118001,-0.15745680592701244
VTN,71,darkgrey,darkgrey,1,0.002971761673876521,0.6720207130520233,-0.10502893365522939,-0.2643476712426828
MAN1A2,99,darkgrey,darkgrey,1,-0.22180562467452805,0.6714037034843383,0.21404314860975998,0.00214988155529728
TLCD4,52,darkgrey,darkgrey,1,-0.06430345473889805,0.6710184665421827,0.015875333292928496,-0.011198600053086243
