,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
AKAP9,6,darkgrey,darkgrey,1,0.2537198795487541,-0.5077420969402474,-0.6702966223624559,0.6058987848962737,-0.23948652246743146,0.7511853735594565
SRRM2,6,darkgrey,darkgrey,1,0.3142696352297185,-0.507829134030527,-0.41949723632755564,0.10556173744848377,-0.2724240999698312,0.6339525210466215
ANKH,6,darkgrey,darkgrey,1,0.2280143173109145,-0.5287485622872935,-0.7864567071465006,0.6130270658845558,-0.12646213258761338,0.8060795327081415
PPIB,5,darkgrey,darkgrey,1,0.23991819161408215,-0.5476207085296245,-0.8093789820261982,0.6072389338152594,0.14418413757432175,0.8281041877943245
LARP1,6,darkgrey,darkgrey,1,0.28449333763853213,-0.5585468215285669,-0.728656145936096,0.7030383215409267,-0.18905821840110448,0.8173620604926954
RBFOX2,5,darkgrey,darkgrey,1,0.31047880172408104,-0.5661309965594437,-0.6983496631394829,0.7581890065920159,-0.014731728462138624,0.8151281117701321
PRKDC,6,darkgrey,darkgrey,1,0.2682469145886647,-0.5675191691214823,-0.7950480299647785,0.6823887080421531,0.0039129018505104085,0.8480391193295443
DOCK5,5,darkgrey,darkgrey,1,0.3112662981658663,-0.578932362544122,-0.7212094919761434,0.7227830544807863,-0.039873150496367145,0.8369773261809949
SF3B1,6,darkgrey,darkgrey,1,0.3066310491668432,-0.5831459573822585,-0.7134933144377616,0.5092319011467208,0.0734678078071029,0.8365490616769727
MYO1B,5,darkgrey,darkgrey,1,0.3306745532081541,-0.583977788083977,-0.6839011800109073,0.6921934028343276,0.17061961130588435,0.8214582022977276
XBP1,5,darkgrey,darkgrey,1,0.3036105799312612,-0.5919946347477765,-0.7669851596711427,0.6884541831507995,0.04845430345491666,0.8613254307505036
CUL3,6,darkgrey,darkgrey,1,0.2947154942180273,-0.5948553512657019,-0.7748687296974618,0.5324831668055732,0.20867643230063135,0.8609619484768617
UBR4,6,darkgrey,darkgrey,1,0.3588406238219457,-0.6048538330408686,-0.6050007397045112,0.5655214928421596,-0.40266624182389366,0.7947541046512479
CDC42BPA,5,darkgrey,darkgrey,1,0.3318070532090207,-0.6067669672114789,-0.7316972225823053,0.7029096603264108,0.035741981431147006,0.8613038697931557
AASS,5,darkgrey,darkgrey,1,0.3269903264313905,-0.6110006952164894,-0.7455912291169728,0.581083152271662,0.24472121345653686,0.8724535546052129
FNIP1,6,darkgrey,darkgrey,1,0.3527442336225101,-0.6211484086602655,-0.709929570191604,0.6329083056776277,0.22406723080226768,0.8664467197095226
EIF5,5,darkgrey,darkgrey,1,0.33126737648797366,-0.6268272781837646,-0.7458480251535142,0.48350849912272825,0.15322144002929067,0.8769429400962792
PCSK6,5,darkgrey,darkgrey,1,0.3591650371744143,-0.6289803946079544,-0.7047632700386302,0.6901824256077546,-0.10216484293238429,0.8688504594320768
