,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
CALD1,157,gainsboro,gainsboro,3,-0.7069644158114761,0.26762911314117815,-0.2838137902261334,0.7757563280629646,0.31030787637713886
TTPA,127,gainsboro,gainsboro,3,-0.603784283539312,0.12360745508110937,-0.3784083598733268,0.772386930659793,0.07484256100823956
HSD11B1,125,gainsboro,gainsboro,3,-0.5708424328615954,0.007964486092734093,-0.4673962419844799,0.7672975649546735,-0.0183073173116354
AQP9,135,gainsboro,gainsboro,3,-0.6028177880810234,0.10470170427404474,-0.3893166485312323,0.7660898637382165,0.09834330353797834
CDO1,115,gainsboro,gainsboro,3,-0.6755837698100873,0.14541618100415374,-0.37002162115864934,0.7650821489160702,0.12020830095693803
CES1,168,gainsboro,gainsboro,3,-0.5563587187421208,0.004240660537384604,-0.4580931381499345,0.762387222979837,0.09358221533076638
HPN,132,gainsboro,gainsboro,3,-0.647070582203382,0.09916076643791197,-0.4338388008448531,0.7611561685221481,0.3420615834552704
APOC3,193,gainsboro,gainsboro,3,-0.6128381471703601,0.08157852331403372,-0.4022406952532381,0.7579972941518199,0.09454075999741048
MIR122HG,77,gainsboro,gainsboro,3,-0.6140369117399931,0.03322336477149391,-0.515064638616478,0.757216458572759,0.4505171527929689
SERPINA1,205,gainsboro,gainsboro,3,-0.6883477189625055,0.2691426810381904,-0.23889988286435618,0.7505183986152403,0.05276915899602625
AR,121,gainsboro,gainsboro,3,-0.6878535532532439,0.1540738049017487,-0.3825299054837024,0.7502749244904207,0.20141503687655957
ERRFI1,172,gainsboro,gainsboro,3,-0.6289237047090805,0.13491290339522366,-0.36226766007284117,0.7495833543848024,0.17366312758622204
MT1E,165,gainsboro,gainsboro,3,-0.6517159243791727,0.07393928675942647,-0.42618334554249493,0.748962589554351,0.059823296481051946
SCD,157,gainsboro,gainsboro,3,-0.7038266293492901,0.3270352806359262,-0.21634600018391606,0.7477849268573522,0.13097620379772565
SELENOP,189,gainsboro,gainsboro,3,-0.5960462618022766,0.04059602048251128,-0.43736026471532496,0.7475207846988775,0.11717637198566715
APOA2,220,gainsboro,gainsboro,3,-0.5124028798658937,-0.13265040836081574,-0.5817006394702229,0.7462942100916894,0.06096615115643674
CYB5A,169,gainsboro,gainsboro,3,-0.5490404685604051,-0.02316352882513803,-0.4837506061699357,0.7460632117945681,0.11887571668537199
A2M,171,gainsboro,gainsboro,3,-0.721893407867422,0.2659440904078239,-0.258527275369359,0.743943346942765,0.1934930758137015
SLC7A2,120,gainsboro,gainsboro,3,-0.7945006042011863,0.3558668973029998,-0.23266329040718103,0.7430256470293545,0.416673653759351
HPR,105,gainsboro,gainsboro,3,-0.48668371250564474,-0.08662265909531441,-0.5385159811311189,0.7398370033392048,0.0765412139428728
LEPR,171,gainsboro,gainsboro,3,-0.6710523765993528,0.28288496568600174,-0.23670212611167377,0.7357384929716523,0.15666094473762948
RBPMS,120,gainsboro,gainsboro,3,-0.7052249937016104,0.21399172389021268,-0.3250543217936388,0.7346284098318457,0.28936536733551416
COL18A1,142,gainsboro,gainsboro,3,-0.7197433716169368,0.279525951169974,-0.26664741283098503,0.7316201991877653,0.3391958180236377
SEPHS2,161,gainsboro,gainsboro,3,-0.5333245873341496,-0.01588451265639619,-0.49302831374918843,0.7311595995234509,0.13225525412237368
BHMT2,143,gainsboro,gainsboro,3,-0.6370009917347724,0.21406579759313624,-0.2542371252053963,0.7272348550600434,-0.05080360519357829
ACADSB,164,gainsboro,gainsboro,3,-0.6985363637091581,0.3128952125954076,-0.2080420157882651,0.7242624033940098,0.0673201664255085
PROS1,129,gainsboro,gainsboro,3,-0.6084754250687555,0.09715363543523568,-0.3962266324079999,0.7210985156051299,0.33780901684417514
ACO1,151,gainsboro,gainsboro,3,-0.6499812002682418,0.1677109085754519,-0.3346106956915745,0.7207659130552858,0.2490067752456721
MBNL3,173,gainsboro,gainsboro,3,-0.6719319156185247,0.22358603889982306,-0.29289150641887907,0.719607269137634,0.194860746482281
UGT2B4,145,gainsboro,gainsboro,3,-0.4740537867554552,-0.02455719620215041,-0.4457102722552785,0.7190467103649382,0.02593487527743491
LRP1,148,gainsboro,gainsboro,3,-0.6901261011404148,0.19735986807433661,-0.3193895062416287,0.7128204512446045,0.3030771703348168
ABCA1,135,gainsboro,gainsboro,3,-0.7107639555911016,0.3191933806783398,-0.20992501891751927,0.7124636841080314,0.33600919796082973
ADI1,157,gainsboro,gainsboro,3,-0.5282933641097338,0.0006183723908950115,-0.4552519468669185,0.7124195934527815,-0.008589794304480635
