,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
RPS3A,211,darkgrey,darkgrey,1,0.0348292346905297,-0.5729711327529015,-0.6407251397158765,0.2125334525511648,0.1713958597552264
EEF1D,215,darkgrey,darkgrey,1,0.09702138161042786,-0.5858090166529627,-0.6075762295456174,0.0932087264304382,0.19407510720058183
RPL3,214,darkgrey,darkgrey,1,0.015950700876826745,-0.593447862327614,-0.6681485134616004,0.18168500749004296,0.2860556969822574
UQCR11,194,darkgrey,darkgrey,1,0.00032357947049812364,-0.5937170646547713,-0.6888960374385722,0.24177265663240016,0.1274736777021471
RPL4,212,darkgrey,darkgrey,1,0.0794579782022598,-0.6073532353319779,-0.6527276972564667,0.14707497646241954,0.19757878303360252
H3F3A,218,darkgrey,darkgrey,1,0.26067796057394355,-0.6151938114953142,-0.5447182390981625,0.014081059007119806,0.09723948405980172
OAZ1,214,darkgrey,darkgrey,1,0.2313406116744162,-0.6156864956343188,-0.57334837447639,0.021522627835898613,0.1332225622580321
CST3,194,darkgrey,darkgrey,1,-0.04556566875917756,-0.6220721669646816,-0.7460118450704079,0.2939852360778019,0.30935051005178676
EEF1G,213,darkgrey,darkgrey,1,0.08194015045098468,-0.6256455061910989,-0.6837363221636851,0.1713313887047535,0.2681538344622835
PPIA,215,darkgrey,darkgrey,1,0.04538745458783129,-0.6269077392462239,-0.7145704330142598,0.22427219275495408,0.25668786000661803
RPLP0,213,darkgrey,darkgrey,1,-0.0015891115073604905,-0.6286422910813709,-0.7411438797777478,0.2508318898799897,0.3098774706221904
RPL6,212,darkgrey,darkgrey,1,0.13626772576183804,-0.6295945038758716,-0.6229807512566328,0.10569749118333005,0.12359513512164376
RPS7,212,darkgrey,darkgrey,1,0.06432620348856669,-0.6318370814335338,-0.6892202287518525,0.18757424821749316,0.16894482000714875
SERF2,210,darkgrey,darkgrey,1,0.05781229522433094,-0.6354293854803045,-0.6871197126193483,0.18338178279898512,0.1420791429282207
CD63,198,darkgrey,darkgrey,1,0.061223800765753136,-0.6356938586870794,-0.6958542594333336,0.19774875658232147,0.1952600728763983
EIF1,217,darkgrey,darkgrey,1,0.1527348160261581,-0.6390592363618214,-0.6275523588813566,0.09749955622529227,-0.030642612674905027
GAPDH,212,darkgrey,darkgrey,1,0.04701681975598536,-0.6415201103822635,-0.7529166635758409,0.26826035387693686,0.26112295696710675
CD74,215,darkgrey,darkgrey,1,0.11484427563286886,-0.6471149257995006,-0.6391980145003936,0.10069782416154882,0.18205339909583826
RPL14,213,darkgrey,darkgrey,1,0.16043224574429513,-0.6539178099996212,-0.6330137173360258,0.09110422547203799,0.13104016244331235
ACTG1,215,darkgrey,darkgrey,1,0.13491253540879608,-0.6591892168821147,-0.6920656327118461,0.13024446480233537,0.2685177156792279
RPS9,219,darkgrey,darkgrey,1,0.21182698044433546,-0.6601871960564721,-0.6153284218566251,0.043948190138486366,0.19021907661361248
TMSB10,215,darkgrey,darkgrey,1,0.36362507436149655,-0.6670186640284641,-0.45826314059630313,-0.19138096300660512,0.007237543225373753
PFN1,210,darkgrey,darkgrey,1,0.18362462048617448,-0.6691346131287519,-0.6291451980472872,0.02540519102022894,0.0946872672237118
RPL24,207,darkgrey,darkgrey,1,0.24204186823795246,-0.6707921265921852,-0.5844739779594733,-0.004408766601508352,0.03596738595701939
RPS24,218,darkgrey,darkgrey,1,0.31324347602285446,-0.6717472909358254,-0.527101136870453,-0.08635808446936562,0.020547637220650266
PDIA3,223,darkgrey,darkgrey,1,0.37804209531591076,-0.6731694917186255,-0.5407970204296536,-0.06769452523425282,0.23778738474254119
COX4I1,202,darkgrey,darkgrey,1,0.06461076939417583,-0.6738881765010424,-0.7430172672961884,0.20366303866513477,0.14330600293671603
RPS25,211,darkgrey,darkgrey,1,0.18736191519523585,-0.6744497443632759,-0.626081236100663,0.028396193536159575,0.10085509956141679
TMSB4X,218,darkgrey,darkgrey,1,0.3704098568911237,-0.6766942839991437,-0.4517058434730879,-0.22243903244506338,0.08626017852612973
UBB,207,darkgrey,darkgrey,1,0.3253670292530058,-0.6780267029843853,-0.5666337215190261,-0.01811321751415371,0.12208244583536088
RPS8,216,darkgrey,darkgrey,1,0.21871906284579495,-0.6895352263946719,-0.6205762832852253,0.036884037264315,0.09794238066916877
H3F3B,220,darkgrey,darkgrey,1,0.32752511355984765,-0.689673691310218,-0.5732107293674747,-0.03046017816842479,0.03740354032272268
RPS3,218,darkgrey,darkgrey,1,0.22705211433878758,-0.6903264065117278,-0.6488083339166892,0.04308235088482348,0.19567519713443057
RPL15,214,darkgrey,darkgrey,1,0.12777901149788928,-0.6915655221576648,-0.7087498535057069,0.15602026730291416,0.20129142466612726
RPS6,218,darkgrey,darkgrey,1,0.2913551508298166,-0.693793640930989,-0.583532725008758,-0.031804530300088056,0.09000685771275259
COX7C,199,darkgrey,darkgrey,1,0.037663015744010146,-0.6966282132647998,-0.7725867752519648,0.22728393816422235,0.18655513200439863
RPL29,204,darkgrey,darkgrey,1,0.1580672166610419,-0.7007447548563086,-0.7080902675360926,0.12700995806888335,0.09646174503334609
RPS15A,211,darkgrey,darkgrey,1,0.23505810082241912,-0.7037706791728101,-0.639469318726548,0.010201463977065497,0.08534222669194831
RPL31,216,darkgrey,darkgrey,1,0.33834582345542913,-0.7042580779628854,-0.5370606191104224,-0.10188422043084353,0.03874453703662658
